"key","en","cs"
"AdventurersGuild.adventurersGuildMenuName","&6&lAdventurer's Hub","&6&lAdventurérský Uzel"
"AdventurersGuild.gearRestrictionMessage","&c[EM] You need $skillType level $itemLevel to equip this! (Current: $skillLevel)","&c[EM] Potřebuješ $skillType úrovně $itemLevel pro vybavení tohoto předmětu! (Aktuálně: $skillLevel)"
"AntiExploit.antiExploitMessage","&c[EM AntiExploit] &7Nearby elite won't drop special loot.","&c[EM AntiExploit] &7Blízká elita nevypustí speciální kořist."
"AntiExploit.antiExploitOpPrefix"," OP-only:"," Pouze OP:"
"Arenas.arenaFullMessage","&4[EliteMobs] &cArena is full! You can spectate instead while you wait for it to finish!","&4[EliteMobs] &cAréna je plná! Místo toho můžeš přihlížet, dokud neskončí!"
"Arenas.arenaJoinPlayerMessage","&2[EliteMobs] &aYou can start the arena by doing &2/em start &aif there are at least &2$count &aplayers in it! 
You can leave the arena by doing &c/em quit","&2[EliteMobs] &aArény se můžeš zúčastnit příkazem &2/em start &apokud je v ní alespoň &2$count &ahráčů!
Arenu opustíš příkazem &c/em quit"
"Arenas.arenaJoinSpectatorMessage","&2[EliteMobs] &aYou can leave the arena at any time using &2/em quit","&2[EliteMobs] &aArenu můžeš kdykoli opustit pomocí &2/em quit"
"Arenas.arenasOngoingMessage","&4[EliteMobs] &cCan't join the arena now - a match is currently happening! You can spectate instead while you wait for it to finish!","&4[EliteMobs] &cNelze se nyní připojit k aréně – zápas právě probíhá! Místo toho můžeš přihlížet, dokud neskončí!"
"Arenas.defeatSubtitle","&cReached wave &4$wave&c!","&cDosažena vlna &4$wave&c!"
"Arenas.defeatTitle","&4Defeat!","&4Porážka!"
"Arenas.instanceQuitHintMessage","&4[EliteMobs] &cYou can leave the instance by doing &4/em quit","&4[EliteMobs] &cInstanci opustíš příkazem &4/em quit"
"Arenas.instanceStartHintMessage","&2[EliteMobs] &aYou can start the instance by doing &2/em start","&2[EliteMobs] &aInstanci spustíš příkazem &2/em start"
"Arenas.joinPlayerSubtitle","&cLeave with &4/em quit &c!","&cOpusť pomocí &4/em quit &c!"
"Arenas.joinPlayerTitle","&aStart with &2/em start &a!","&aSpusť pomocí &2/em start &a!"
"Arenas.joinSpectatorSubtitle","&cLeave with &4/em quit &c!","&cOpusť pomocí &4/em quit &c!"
"Arenas.joinSpectatorTitle","&aNow spectating!","&aNyní přihlížíš!"
"Arenas.noArenaPermissionMessage","[EliteMobs] You don't have the permission to enter this arena!","[EliteMobs] Nemáš oprávnění vstoupit do této arény!"
"Arenas.notEnoughPlayersMessage","&8[EliteMobs] &cYou need at least $amount to start the match!","&8[EliteMobs] &cK zahájení zápasu potřebuješ alespoň $amount hráčů!"
"Arenas.startingMessage","&2Starting!","&2Spouštění!"
"Arenas.startingSubtitle","&2in $count...","&2za $count..."
"Arenas.victoryBroadcast","Arena $arenaName was conquered by $players!","Arény $arenaName se zmocnili $players!"
"Arenas.victorySubtitle","&aCompleted &2$wave &awaves!","&aDokončeno &2$wave &avln!"
"Arenas.victoryTitle","&2Victory!","&2Vítězství!"
"Arenas.waveTitle","&aWave &2$wave","&aVlna &2$wave"
"BB_CircleTemple_Barren_Boss.name","$minibossLevel &2Puppy","$minibossLevel &2Štěně"
"BB_CircleTemple_Desert_Boss.name","$minibossLevel &6Pharaoh","$minibossLevel &6Faraon"
"BB_CircleTemple_End_Boss.name","$minibossLevel &5King of the Underworld","$minibossLevel &5Král podsvětí"
"BB_CircleTemple_Grasslands_Boss.name","$minibossLevel &dKnight","$minibossLevel &dRytíř"
"BB_CircleTemple_Nether_Boss.name","$minibossLevel &4Corrupted Horror","$minibossLevel &4Zkažená hrůza"
"BB_CircleTemple_Tundra_Boss.name","$minibossLevel &9Fenrir","$minibossLevel &9Fenrir"
"BB_Flagship_Grasslands_Boss.name","$bossLevel &0Mortician","$bossLevel &0Pohřební"
"BB_Flagship_Grasslands_Miniboss.name","$bossLevel &0Priest","$bossLevel &0Kněz"
"BB_Flagship_Grasslands_Miniboss2.name","$bossLevel &0Guard","$bossLevel &0Strážce"
"BB_FloatingCave_Barren_Boss.name","$minibossLevel &2Skeleton Reaper","$minibossLevel &2Kostlivcův žnec"
"BB_FloatingCave_Desert_Boss.name","$minibossLevel &6Junior Detonator","$minibossLevel &6Mladý detonátor"
"BB_FloatingCave_End_Boss.name","$minibossLevel &5Skyraider","$minibossLevel &5Nájezdník nebes"
"BB_FloatingCave_Grasslands_Boss.name","$minibossLevel &dTarantula","$minibossLevel &dTarantule"
"BB_FloatingCave_Nether_Boss.name","$minibossLevel &4Bandit Leader","$minibossLevel &4Vůdce banditů"
